SUDO HEX LOG - ANALYSIS SESSION STARTED
Session Start: 2026-03-07 18:03:45
==================================================
[2026-03-07 18:03:45] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 103.35.160.99 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:51:30] PROTOCOL: HTTPS | OSI: Layer 4 - Transport | LAYER: Application | SRC: 45.89.205.93 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:51:34] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 103.191.144.104 -> DST: 192.168.1.10 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:51:38] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.187 -> DST: 192.168.1.11 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:51:42] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 212.213.162.129 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:51:46] PROTOCOL: HTTP | OSI: Layer 4 - Transport | LAYER: Application | SRC: 212.219.186.123 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:51:50] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.83 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:51:54] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.136 -> DST: 192.168.1.19 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:51:58] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.161 -> DST: 192.168.1.10 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:52:02] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 212.36.20.182 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:52:06] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 103.118.183.156 -> DST: 192.168.1.5 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:52:10] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.38 -> DST: 192.168.1.12 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:52:14] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 77.73.79.49 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:52:18] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 103.222.58.216 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:52:22] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.138 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:52:26] PROTOCOL: ICMP | OSI: Layer 6 - Presentation | LAYER: Network | SRC: 91.41.219.90 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:52:30] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 185.162.5.101 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:52:34] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.158 -> DST: 192.168.1.1 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:52:38] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 185.114.154.254 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:52:42] PROTOCOL: HTTP | OSI: Layer 4 - Transport | LAYER: Application | SRC: 77.202.218.35 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:52:46] PROTOCOL: UDP | OSI: Layer 4 - Transport | LAYER: Transport | SRC: 185.52.186.225 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:52:50] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 77.101.31.244 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:52:54] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 103.210.228.207 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:52:58] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 103.78.140.182 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:53:02] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 142.208.75.106 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:53:06] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 142.141.60.249 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:53:10] PROTOCOL: UDP | OSI: Layer 4 - Transport | LAYER: Transport | SRC: 103.187.124.63 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:53:14] PROTOCOL: ICMP | OSI: Layer 4 - Transport | LAYER: Network | SRC: 77.133.181.7 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:53:19] PROTOCOL: TCP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 103.149.193.230 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:53:23] PROTOCOL: HTTP | OSI: Layer 5 - Session | LAYER: Application | SRC: 103.126.177.235 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:53:28] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 91.242.115.85 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:53:33] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.100 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:53:37] PROTOCOL: UDP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 103.74.207.145 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:53:42] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 212.147.202.137 -> DST: 192.168.1.19 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:53:46] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.235 -> DST: 192.168.1.17 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:53:50] PROTOCOL: HTTP | OSI: Layer 4 - Transport | LAYER: Application | SRC: 77.12.24.140 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:53:54] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 91.28.3.30 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:53:59] PROTOCOL: TCP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 212.139.50.123 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:54:03] PROTOCOL: HTTPS | OSI: Layer 5 - Session | LAYER: Application | SRC: 91.184.11.14 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:54:07] PROTOCOL: HTTP | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 103.72.164.176 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:54:11] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 103.251.31.27 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:54:15] PROTOCOL: TCP | OSI: Layer 4 - Transport | LAYER: Transport | SRC: 212.55.165.11 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:54:19] PROTOCOL: HTTP | OSI: Layer 4 - Transport | LAYER: Application | SRC: 45.161.6.175 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:54:23] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 103.64.226.124 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:54:27] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 212.17.86.82 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:54:31] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 45.134.92.204 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:54:35] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 77.162.48.124 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:54:39] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 212.184.177.69 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:54:43] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 45.35.99.184 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:54:47] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.136 -> DST: 192.168.1.19 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:54:51] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.80 -> DST: 192.168.1.9 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:54:55] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.124 -> DST: 192.168.1.6 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:54:59] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 103.200.205.127 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:55:03] PROTOCOL: TCP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 103.200.2.241 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:55:07] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 91.207.235.51 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:55:11] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 212.149.211.10 -> DST: 192.168.1.6 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:55:15] PROTOCOL: ICMP | OSI: Layer 5 - Session | LAYER: Network | SRC: 185.176.232.47 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:55:19] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 45.187.22.82 -> DST: 192.168.1.6 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:55:23] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.192 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:55:27] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 142.226.125.61 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:55:31] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 185.141.119.79 -> DST: 192.168.1.12 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 01:22:17] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 77.210.145.48 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 01:22:21] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 212.201.249.124 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 01:22:25] PROTOCOL: TCP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 77.41.82.63 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 01:33:56] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 212.151.169.95 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 01:34:00] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 103.238.96.110 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-16 00:11:28] PROTOCOL: TCP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 77.20.3.4 -> DST: 192.168.1.2 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-16 00:11:32] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 45.23.204.8 -> DST: 192.168.1.2 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-16 00:11:36] PROTOCOL: ICMP | OSI: Layer 5 - Session | LAYER: Network | SRC: 103.217.214.68 -> DST: 192.168.1.2 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-16 00:11:40] PROTOCOL: UDP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 185.180.226.31 -> DST: 192.168.1.2 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-16 00:11:44] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 142.228.250.216 -> DST: 192.168.1.2 | ATTACK: Normal | MALICIOUS: False
[2026-03-16 00:11:48] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 45.248.11.109 -> DST: 192.168.1.2 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-16 00:11:52] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.4 -> DST: 192.168.1.4 | ATTACK: Normal | MALICIOUS: False
[2026-03-16 00:11:56] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 45.118.234.251 -> DST: 192.168.1.2 | ATTACK: Normal | MALICIOUS: False
[2026-03-16 00:12:00] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 185.116.61.202 -> DST: 192.168.1.2 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-16 00:12:04] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.34 -> DST: 192.168.1.2 | ATTACK: Normal | MALICIOUS: False
[2026-03-16 00:12:08] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 45.194.199.27 -> DST: 192.168.1.2 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-16 00:12:12] PROTOCOL: TCP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 185.55.235.14 -> DST: 192.168.1.2 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-16 00:12:16] PROTOCOL: UDP | OSI: Layer 4 - Transport | LAYER: Transport | SRC: 103.247.240.94 -> DST: 192.168.1.2 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-16 00:12:20] PROTOCOL: TCP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 77.13.67.251 -> DST: 192.168.1.2 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-16 00:12:24] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 103.102.109.135 -> DST: 192.168.1.2 | ATTACK: Normal | MALICIOUS: False
[2026-03-16 00:12:28] PROTOCOL: ICMP | OSI: Layer 4 - Transport | LAYER: Network | SRC: 212.115.80.123 -> DST: 192.168.1.2 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-16 00:12:32] PROTOCOL: HTTPS | OSI: Layer 5 - Session | LAYER: Application | SRC: 91.11.184.23 -> DST: 192.168.1.2 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-16 00:12:36] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 45.56.43.27 -> DST: 192.168.1.2 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-16 00:12:40] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 185.51.156.54 -> DST: 192.168.1.2 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-16 00:12:44] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.179 -> DST: 192.168.1.2 | ATTACK: Normal | MALICIOUS: False
[2026-03-16 00:12:48] PROTOCOL: UDP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 91.222.223.241 -> DST: 192.168.1.2 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-24 23:53:07] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.125 -> DST: 192.168.1.19 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:53:11] PROTOCOL: TCP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 91.54.175.5 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:53:15] PROTOCOL: UDP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 103.20.212.44 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:53:19] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.231 -> DST: 192.168.1.3 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:53:23] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 77.59.194.120 -> DST: 192.168.1.3 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-24 23:53:27] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.249 -> DST: 192.168.1.3 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:53:31] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 45.10.45.181 -> DST: 192.168.1.3 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-24 23:53:35] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 142.245.132.124 -> DST: 192.168.1.5 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:53:39] PROTOCOL: ICMP | OSI: Layer 6 - Presentation | LAYER: Network | SRC: 212.46.60.213 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:53:44] PROTOCOL: ICMP | OSI: Layer 4 - Transport | LAYER: Network | SRC: 185.166.210.5 -> DST: 192.168.1.3 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-24 23:53:48] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.98 -> DST: 192.168.1.3 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:53:52] PROTOCOL: HTTPS | OSI: Layer 4 - Transport | LAYER: Application | SRC: 91.104.116.108 -> DST: 192.168.1.3 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-24 23:53:56] PROTOCOL: ICMP | OSI: Layer 6 - Presentation | LAYER: Network | SRC: 77.127.119.93 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:54:00] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.175 -> DST: 192.168.1.3 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:54:04] PROTOCOL: HTTP | OSI: Layer 5 - Session | LAYER: Application | SRC: 45.212.229.230 -> DST: 192.168.1.3 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-24 23:54:08] PROTOCOL: HTTPS | OSI: Layer 4 - Transport | LAYER: Application | SRC: 103.217.251.33 -> DST: 192.168.1.3 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-24 23:54:12] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.10 -> DST: 192.168.1.6 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:54:16] PROTOCOL: UDP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 212.188.145.231 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:54:20] PROTOCOL: ICMP | OSI: Layer 6 - Presentation | LAYER: Network | SRC: 103.199.121.137 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:54:24] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.119 -> DST: 192.168.1.17 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:54:28] PROTOCOL: TCP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 91.58.215.31 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:54:32] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 103.161.185.97 -> DST: 192.168.1.3 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-24 23:54:36] PROTOCOL: ICMP | OSI: Layer 4 - Transport | LAYER: Network | SRC: 212.31.210.28 -> DST: 192.168.1.3 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-24 23:54:40] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 103.160.131.44 -> DST: 192.168.1.8 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:54:44] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 45.195.93.64 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:54:48] PROTOCOL: ICMP | OSI: Layer 6 - Presentation | LAYER: Network | SRC: 103.17.72.49 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:54:52] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 91.152.234.78 -> DST: 192.168.1.3 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-24 23:54:56] PROTOCOL: TCP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 91.240.102.57 -> DST: 192.168.1.3 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-24 23:55:00] PROTOCOL: ICMP | OSI: Layer 4 - Transport | LAYER: Network | SRC: 77.37.56.237 -> DST: 192.168.1.3 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-24 23:55:04] PROTOCOL: UDP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 91.175.16.75 -> DST: 192.168.1.3 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-24 23:55:08] PROTOCOL: UDP | OSI: Layer 4 - Transport | LAYER: Transport | SRC: 91.140.0.32 -> DST: 192.168.1.3 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-24 23:55:12] PROTOCOL: TCP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 91.71.79.97 -> DST: 192.168.1.3 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-24 23:55:16] PROTOCOL: HTTP | OSI: Layer 5 - Session | LAYER: Application | SRC: 45.249.162.224 -> DST: 192.168.1.3 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-24 23:55:21] PROTOCOL: HTTPS | OSI: Layer 5 - Session | LAYER: Application | SRC: 77.68.43.158 -> DST: 192.168.1.3 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-24 23:55:25] PROTOCOL: ICMP | OSI: Layer 4 - Transport | LAYER: Network | SRC: 45.44.91.61 -> DST: 192.168.1.3 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-24 23:55:29] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.132 -> DST: 192.168.1.3 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:55:33] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 45.209.13.213 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:55:37] PROTOCOL: ICMP | OSI: Layer 5 - Session | LAYER: Network | SRC: 212.229.166.43 -> DST: 192.168.1.3 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-24 23:55:41] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.130 -> DST: 192.168.1.16 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:55:45] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 103.149.34.250 -> DST: 192.168.1.3 | ATTACK: Normal | MALICIOUS: False
[2026-03-24 23:55:49] PROTOCOL: ICMP | OSI: Layer 4 - Transport | LAYER: Network | SRC: 91.54.92.22 -> DST: 192.168.1.3 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-24 23:55:53] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 91.88.247.240 -> DST: 192.168.1.3 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-24 23:55:57] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 212.188.196.195 -> DST: 192.168.1.3 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-24 23:56:01] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 103.100.212.230 -> DST: 192.168.1.8 | ATTACK: Normal | MALICIOUS: False
